PLATFORM,3000,745
PLAYER,100,687
COIN,300,510
COIN,350,510
COIN,400,510
ENEMY,400,695
COIN,450,510
COIN,500,690
ENEMY,600,695
ENEMY,800,695
COIN,900,690
ENEMY,1000,695
COIN,1100,510
COIN,1150,690
ENEMY,1200,695
COIN,1200,510
COIN,1250,510
ENEMY,1400,695
COIN,1500,690
COIN,1550,690
ENEMY,1650,695
COIN,1700,510
COIN,1750,510
COIN,1750,690
COIN,1800,690
COIN,1850,510
ENEMY,1900,695
ENEMY,2100,695
COIN,2300,690
COIN,2350,690
ENEMY,2500,695
COIN,2600,690
COIN,2650,690
ENEMY,2750,695
COIN,2850,690
COIN,2900,690
ENEMY,3100,695
COIN,3200,510
COIN,3250,510
COIN,3300,690
COIN,3350,690
COIN,3400,690
COIN,3450,690
COIN,3450,690
ENEMY,3550,695
COIN,3600,510
COIN,3650,510
COIN,3700,510
ENEMY,3850,695
END_FLAG,4100,670
